user_id;idade;sexo;renda_mensal;renda_mensal_imputada;numero_dependentes;dependentes_imputados;faixa_etaria;faixa_salarial;salario_por_dependente;default_flag;historico_default;qtd_emprestimos_ativos;qtd_tipos_emprestimo;tipos_emprestimo;qtd_real_estate;qtd_other;possui_emprestimo_ativo;atraso_30_59;atraso_60_89;atraso_90_plus;total_atrasos;debt_ratio;uso_linhas_sem_garantia;historico_atrasos_flag;indice_risco_credito;score_risco_total;quartil_risco;faixa_risco_historico;previsao_default;idade_outlier_flag;renda_outlier_flag;debt_ratio_outlier_flag;uso_linhas_outlier_flag;nome_cliente;iniciais;cliente_desde;primeiro_nome
1;55;F;2200;0;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;3;1;other;0;3;1;0;0;0;0;0,1531;0,6671;0;2,0505;5,88;3;Alto;Bom pagador;0;0;0;0;Cassia Silva Silverio;CSS;fev/21;Cassia
2;44;M;7499;0;0;0;Adultos (31-59 anos);Alta;;0;Sem hist¢rico de inadimplˆncia;20;2;other, real_estate;1;19;1;0;0;0;0;0,1488;0,0071;0;0,0742;2,5066;1;Baixo;Bom pagador;0;0;0;0;Bruno Silverio;BS;mar/21;Bruno
3;54;M;5900;0;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;15;2;other, real_estate;1;14;1;0;1;0;1;0,3516;0,0912;1;1,2143;1,962;3;Alto;Bom pagador;0;0;0;0;Pedro Silva Silva;PS;abr/21;Pedro
4;54;F;2167;0;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;3;1;other;0;3;1;0;0;0;0;0,066;0,1127;0;0,4466;1,798;2;Moderado;Bom pagador;0;0;0;0;Eduarda Silva Silva;ES;mai/21;Eduarda
5;42;M;10415;0;2;0;Adultos (31-59 anos);Alta;5207,5;0;Sem hist¢rico de inadimplˆncia;8;2;other, real_estate;2;6;1;0;0;0;0;0,3522;0,324;0;0,7513;1,8682;2;Moderado;Bom pagador;0;0;0;0;Rafael Silva Silva;RS;jun/21;Rafael
6;63;F;4368;0;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;2;1;other;0;2;1;0;0;0;0;0,0023;0,0073;0;0,032;1,7687;1;Baixo;Bom pagador;0;0;0;0;Gabriela Silva Silva;GS;jul/21;Gabriela
7;76;M;1700;0;0;0;Sˆnior (60+);Baixa;;0;Sem hist¢rico de inadimplˆncia;4;1;other;0;4;1;1;0;0;1;0,2616;0;1;1,3232;2,0733;3;Alto;Bom pagador;0;0;0;0;Carlos Silva Silva;CS;ago/21;Carlos
8;55;M;15658;0;0;0;Adultos (31-59 anos);Alta;;0;Sem hist¢rico de inadimplˆncia;14;2;other, real_estate;3;11;1;0;0;1;1;0,4067;0,0623;1;1,246;2,3134;3;Alto;Bom pagador;0;0;0;0;Felipe Silva Silva;FS;set/21;Felipe
9;41;M;8441;0;0;0;Adultos (31-59 anos);Alta;;0;Sem hist¢rico de inadimplˆncia;6;2;other, real_estate;3;3;1;1;0;0;1;0,2099;0,4799;1;1,8426;2,8931;3;Alto;Bom pagador;0;0;0;0;Thiago Silva Silva;TS;out/21;Thiago
10;49;F;200;0;0;0;Adultos (31-59 anos);Baixa;;0;Sem hist¢rico de inadimplˆncia;7;2;other, real_estate;2;5;1;0;0;0;0;11,4179;0,0403;0;14,3227;5,4993;4;Muito alto;Bom pagador;0;0;0;0;Larissa Silva Silva;LS;nov/21;Larissa
11;56;M;6400;0;1;0;Adultos (31-59 anos);Alta;6400;0;Sem hist¢rico de inadimplˆncia;5;2;other, real_estate;2;3;1;1;0;0;1;0,5927;0,8434;1;3,2269;6,1084;3;Alto;Bom pagador;0;0;0;0;Andr‚ Silva Silva;AS;dez/21;Andr‚
12;77;M;5400;1;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;17;2;other, real_estate;1;16;1;0;0;0;0;859;0,0122;0;477,229;5,5403;4;Muito alto;Bom pagador;0;0;0;0;Leonardo Silva Silva;LS;jan/22;Leonardo
13;66;F;2150;0;1;0;Sˆnior (60+);M‚dia;2150;0;Sem hist¢rico de inadimplˆncia;2;1;other;0;2;1;0;0;0;0;0;0,0013;0;0,0045;2,5066;1;Baixo;Bom pagador;0;0;0;0;Patr¡cia Silva Silva;PS;fev/22;Patr¡cia
14;41;M;10749;0;0;0;Adultos (31-59 anos);Alta;;0;Sem hist¢rico de inadimplˆncia;9;1;other;0;9;1;0;0;1;1;0,0593;0,964;1;1,9234;5,88;3;Alto;Bom pagador;0;0;0;0;Ricardo Silva Silva;RS;mar/22;Ricardo
15;64;M;7083;0;0;0;Sˆnior (60+);Alta;;0;Sem hist¢rico de inadimplˆncia;19;2;other, real_estate;5;14;1;1;0;0;1;1,6484;0,5942;1;2,0713;5,921;3;Alto;Bom pagador;0;0;0;0;Daniel Silva Silva;DS;abr/22;Daniel
16;69;F;5188;0;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;7;2;other, real_estate;2;5;1;0;0;0;0;0,4028;0,1931;0;0,7448;2,2372;2;Moderado;Bom pagador;0;0;0;0;Tatiane Silva Silva;TS;mai/22;Tatiane
17;79;M;10500;0;0;0;Sˆnior (60+);Alta;;0;Sem hist¢rico de inadimplˆncia;22;1;other;0;22;1;0;0;0;0;0,0828;0,1426;0;0,098;1,7277;1;Baixo;Bom pagador;0;0;0;0;Eduardo Silva Silva;ES;jun/22;Eduardo
18;73;F;3922;0;0;0;Sˆnior (60+);M‚dia;;0;Sem hist¢rico de inadimplˆncia;8;2;other, real_estate;1;7;1;0;0;0;0;0,2781;0,022;0;0,3334;2,4012;1;Baixo;Bom pagador;0;0;0;0;Yasmin Silva Silva;YS;jul/22;Yasmin
19;51;F;5400;1;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;8;2;other, real_estate;3;5;1;0;0;0;0;2610;0,0692;0;2900,0769;6,2372;4;Muito alto;Bom pagador;0;0;0;0;Amanda Silva Silva;AS;ago/22;Amanda
20;42;M;5400;1;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;13;1;other;0;13;1;0;0;0;0;1546;0,6797;0;1104,7712;9,2416;4;Muito alto;Mau pagador;0;0;0;0;Diego Silva Silva;DS;set/22;Diego
21;65;F;5000;0;2;0;Sˆnior (60+);M‚dia;2500;0;Sem hist¢rico de inadimplˆncia;5;1;other;0;5;1;0;0;0;0;0,0094;0,032;0;0,0689;2,4656;1;Baixo;Bom pagador;0;0;0;0;Carla Silva Silva;CS;out/22;Carla
22;75;M;0;0;0;0;Sˆnior (60+);Baixa;;0;Sem hist¢rico de inadimplˆncia;6;2;other, real_estate;1;5;1;0;0;0;0;1477;0,1154;0;2110,1648;5,5696;4;Muito alto;Bom pagador;0;0;0;0;Murilo Silva Silva;MS;nov/22;Murilo
23;41;M;5400;1;0;0;Adultos (31-59 anos);M‚dia;;0;Sem hist¢rico de inadimplˆncia;2;2;other, real_estate;1;1;1;0;0;5;5;1365;1;1;4556,6667;9,2416;4;Muito alto;Mau pagador;0;0;0;0;Samuel Silva Silva;SS;dez/22;Samuel
