user_id;nome_cliente;primeiro_nome;iniciais;cliente_desde;idade;sexo;renda_mensal;faixa_salarial;historico_default;historico_pagamento;qtd_emprestimos_ativos;consultas_ultimo_ano;status_ultimo_emprestimo;faixa_risco_historico;previsao_default;score_credito_sintetico;score_credito_faixa;total_atrasos;resumo_personalizado
1;Cassia Silva Silverio;Cassia;CSS;fev/21;55;F;2200;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;3;4;Pago em dia;Alto;Bom pagador;680;Bom;0;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
2;Bruno Silverio;Bruno;BS;mar/21;44;M;7499;Alta;Sem hist¢rico de inadimplˆncia;Pontual;20;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
3;Pedro Silva Silva;Pedro;PS;abr/21;54;M;5900;M‚dia;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;15;1;Pago em dia;Alto;Bom pagador;665;Regular;1;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
4;Eduarda Silva Silva;Eduarda;ES;mai/21;54;F;2167;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;3;1;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
5;Rafael Silva Silva;Rafael;RS;jun/21;42;M;10415;Alta;Sem hist¢rico de inadimplˆncia;Pontual;8;2;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
6;Gabriela Silva Silva;Gabriela;GS;jul/21;63;F;4368;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;2;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
7;Carlos Silva Silva;Carlos;CS;ago/21;76;M;1700;Baixa;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;4;0;Pago em dia;Alto;Bom pagador;665;Regular;1;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
8;Felipe Silva Silva;Felipe;FS;set/21;55;M;15658;Alta;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;14;1;Pago em dia;Alto;Bom pagador;665;Regular;1;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
9;Thiago Silva Silva;Thiago;TS;out/21;41;M;8441;Alta;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;6;3;Pago em dia;Alto;Bom pagador;665;Regular;1;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
10;Larissa Silva Silva;Larissa;LS;nov/21;49;F;200;Baixa;Sem hist¢rico de inadimplˆncia;Pontual;7;1;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
11;Andr‚ Silva Silva;Andr‚;AS;dez/21;56;M;6400;Alta;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;5;5;Pago em dia;Alto;Bom pagador;665;Regular;1;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
12;Leonardo Silva Silva;Leonardo;LS;jan/22;77;M;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;17;1;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
13;Patr¡cia Silva Silva;Patr¡cia;PS;fev/22;66;F;2150;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;2;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
14;Ricardo Silva Silva;Ricardo;RS;mar/22;41;M;10749;Alta;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;9;5;Pago em dia;Alto;Bom pagador;665;Regular;1;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
15;Daniel Silva Silva;Daniel;DS;abr/22;64;M;7083;Alta;Sem hist¢rico de inadimplˆncia;Com ocorrˆncias;19;3;Pago em dia;Alto;Bom pagador;665;Regular;1;Cliente com perfil hist¢rico alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos com ocorrˆncias.
16;Tatiane Silva Silva;Tatiane;TS;mai/22;69;F;5188;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;7;1;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
17;Eduardo Silva Silva;Eduardo;ES;jun/22;79;M;10500;Alta;Sem hist¢rico de inadimplˆncia;Pontual;22;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
18;Yasmin Silva Silva;Yasmin;YS;jul/22;73;F;3922;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;8;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
19;Amanda Silva Silva;Amanda;AS;ago/22;51;F;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;8;1;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
20;Diego Silva Silva;Diego;DS;set/22;42;M;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;13;4;Pago em dia;Muito alto;Mau pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: mau pagador, e hist¢rico de pagamentos pontual.
21;Carla Silva Silva;Carla;CS;out/22;65;F;5000;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;5;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
22;Murilo Silva Silva;Murilo;MS;nov/22;75;M;0;Baixa;Sem hist¢rico de inadimplˆncia;Pontual;6;1;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
23;Samuel Silva Silva;Samuel;SS;dez/22;41;M;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Requer aten‡Æo;2;5;Pago em dia;Muito alto;Mau pagador;535;Ruim;5;Cliente com perfil hist¢rico muito alto, previsÆo de default: mau pagador, e hist¢rico de pagamentos requer aten‡Æo.
24;Fl via Silva Silva;Fl via;FS;jan/23;53;F;9939;Alta;Sem hist¢rico de inadimplˆncia;Pontual;12;3;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
25;Arthur Silva Silva;Arthur;AS;fev/23;59;M;7930;Alta;Sem hist¢rico de inadimplˆncia;Pontual;5;2;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
26;Helo¡sa Silva Silva;Helo¡sa;HS;mar/23;55;F;5562;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;11;2;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
27;Bernardo Silva Silva;Bernardo;BS;abr/23;76;M;2500;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;15;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
28;Ot vio Silva Silva;Ot vio;OS;mai/23;56;M;2835;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;11;1;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
29;Heitor Silva Silva;Heitor;HS;jun/23;43;M;5833;M‚dia;Sem hist¢rico de inadimplˆncia;Requer aten‡Æo;8;1;Pago em dia;Muito alto;Bom pagador;535;Ruim;8;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos requer aten‡Æo.
30;Manuela Silva Silva;Manuela;MS;jul/23;31;F;8160;Alta;Sem hist¢rico de inadimplˆncia;Pontual;7;1;Pago em dia;Moderado;Bom pagador;750;Muito bom;0;Cliente com perfil hist¢rico moderado, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
31;Pietro Silva Silva;Pietro;PS;ago/23;74;M;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;8;1;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
32;Yuri Silva Silva;Yuri;YS;set/23;67;M;6862;Alta;Sem hist¢rico de inadimplˆncia;Pontual;7;1;Pago em dia;Baixo;Bom pagador;820;Muito bom;0;Cliente com perfil hist¢rico baixo, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
33;Priscila Silva Silva;Priscila;PS;out/23;63;F;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;9;3;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
34;Igor Silva Silva;Igor;IS;nov/23;62;M;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;4;0;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
35;Renato Silva Silva;Renato;RS;dez/23;57;M;5400;M‚dia;Sem hist¢rico de inadimplˆncia;Pontual;6;1;Pago em dia;Muito alto;Bom pagador;610;Regular;0;Cliente com perfil hist¢rico muito alto, previsÆo de default: bom pagador, e hist¢rico de pagamentos pontual.
